page	section	item	key	field	en	ms	content_type	translatable	render	ms_status	en_chars	ms_chars	len_ratio	glossary_hits	draft	placeholder	correction	has_image	image_ref
index	personalization		home.personalization.ageNotes.olderAdult	olderAdult	For older adults we offer individual therapy, cognitive stimulation, and daily-living and rehabilitation support.	Untuk warga emas, kami menawarkan terapi individu, rangsangan kognitif, serta sokongan kehidupan seharian dan pemulihan.	microcopy	TRUE	unresolved	translated	113	120	1.06	Adult;Older adult	TRUE	FALSE		FALSE	
index	personalization		home.personalization.submit	submit	Show me what's relevant	Tunjukkan apa yang berkaitan	cta	TRUE	static	translated	23	28	1.22		FALSE	FALSE		FALSE	
index	personalization		home.personalization.skip	skip	Skip	Langkau	cta	TRUE	static	translated	4	7	1.75		FALSE	FALSE		FALSE	
index	personalization		home.personalization.locked.eyebrow	eyebrow	Personalise	Peribadikan	eyebrow	TRUE	static	translated	11	11	1.00		TRUE	FALSE		FALSE	
index	personalization		home.personalization.locked.heading	heading	See what's most relevant to you	Lihat apa yang paling berkaitan dengan anda	heading	TRUE	static	translated	31	43	1.39		TRUE	FALSE		FALSE	
index	personalization		home.personalization.locked.body	body	Turn on personalisation and we'll tailor this page to you — we reorder our services to your main concern and highlight what fits. It's optional, and you can change your cookie choices anytime.	Hidupkan pemperibadian dan kami akan menyesuaikan halaman ini untuk anda — kami menyusun semula perkhidmatan mengikut kebimbangan utama anda dan menyerlahkan apa yang sesuai. Ia pilihan, dan anda boleh menukar pilihan kuki pada bila-bila masa.	body	TRUE	static	translated	192	243	1.27		TRUE	FALSE		FALSE	
index	personalization		home.personalization.locked.cta	cta	Enable personalisation	Hidupkan pemperibadian	cta	TRUE	static	translated	22	22	1.00		TRUE	FALSE		FALSE	
index	location		home.location.eyebrow	eyebrow	Come say hello	Datang bertemu kami	eyebrow	TRUE	static	translated	14	19	1.36		FALSE	FALSE		TRUE	map-embed
index	location		home.location.title	title	Visit us	Lawati kami	heading	TRUE	static	translated	8	11	1.38		FALSE	FALSE		TRUE	map-embed
index	location		home.location.address	address	No. 4, Jalan Elektron E U16/E, Seksyen U16, E-Boulevard, Denai Alam, 40160 Shah Alam, Selangor	No. 4, Jalan Elektron E U16/E, Seksyen U16, E-Boulevard, Denai Alam, 40160 Shah Alam, Selangor	microcopy	TRUE	static	identical	94	94	1.00		FALSE	FALSE		TRUE	map-embed
index	location		home.location.mapLabel	mapLabel	map / location	peta / lokasi	label	TRUE	unresolved	translated	14	13	0.93		FALSE	FALSE		FALSE	
index	location		home.location.hours[0]	hours	Monday: 12PM – 5PM	Isnin: 12PM – 5PM	list-item	TRUE	unresolved	translated	18	17	0.94	Monday	FALSE	FALSE		FALSE	
index	location		home.location.hours[1]	hours	Tuesday – Saturday: 9AM – 6PM	Selasa – Sabtu: 9AM – 6PM	list-item	TRUE	unresolved	translated	29	25	0.86	Tuesday;Saturday	FALSE	FALSE		FALSE	
index	location		home.location.hours[2]	hours	Closed Sunday & Public Holidays	Tutup pada hari Ahad & Cuti Umum	list-item	TRUE	unresolved	translated	31	32	1.03	Close;Sunday;Public Holidays;Closed	FALSE	FALSE		FALSE	
index	services		home.services.eyebrow	eyebrow	Our services	Perkhidmatan kami	eyebrow	TRUE	static	translated	12	17	1.42		FALSE	FALSE		FALSE	
index	services		home.services.heading	heading	How we can help	Bagaimana kami boleh membantu	heading	TRUE	static	translated	15	29	1.93		FALSE	FALSE		FALSE	
index	services	0 · screening	home.services.items[0].key	key	screening	screening	non-copy	FALSE	unresolved	identical	9	9	1.00		FALSE	FALSE		FALSE	
index	services	0 · screening	home.services.items[0].title	title	Screening & Assessment	Saringan & Penilaian	heading	TRUE	unresolved	translated	22	20	0.91		FALSE	FALSE		FALSE	
index	services	0 · screening	home.services.items[0].blurb	blurb	Two separate services: screening (Occupational Therapy — fine motor, school readiness; Clinical Psychology — emotional, behavioural) and a holistic 3-in-1 assessment covering Occupational Therapy, Speech-Language and Communication, and Clinical Psychology.	Dua perkhidmatan berasingan: saringan (Terapi Carakerja — motor halus, kesediaan sekolah; Psikologi Klinikal — emosi, tingkah laku) dan penilaian holistik 3-dalam-1 yang merangkumi Terapi Carakerja, Bahasa-Pertuturan dan Komunikasi, serta Psikologi Klinikal.	body	TRUE	unresolved	translated	256	258	1.01	Occupational Therapy;Clinical Psychology	FALSE	FALSE		FALSE	
index	services	1 · ot	home.services.items[1].key	key	ot	ot	non-copy	FALSE	unresolved	identical	2	2	1.00		FALSE	FALSE		FALSE	
index	services	1 · ot	home.services.items[1].title	title	Occupational Therapy	Terapi Carakerja	heading	TRUE	unresolved	translated	20	16	0.80	Occupational Therapy	FALSE	FALSE		FALSE	
index	services	1 · ot	home.services.items[1].blurb	blurb	Paediatric occupational therapy focuses on helping children develop the skills they need to grow into functional, independent adults.	Terapi carakerja pediatrik memberi tumpuan untuk membantu anak membina kemahiran yang diperlukan agar mereka membesar menjadi orang dewasa yang berfungsi dan berdikari.	body	TRUE	unresolved	translated	133	168	1.26	Occupational Therapy;Child;Children;Adult	FALSE	FALSE		FALSE	
index	services	2 · speech	home.services.items[2].key	key	speech	speech	non-copy	FALSE	unresolved	identical	6	6	1.00		FALSE	FALSE		FALSE	
index	services	2 · speech	home.services.items[2].title	title	Speech Therapy	Terapi Pertuturan	heading	TRUE	unresolved	translated	14	17	1.21	Speech Therapy	FALSE	FALSE		FALSE	
index	services	2 · speech	home.services.items[2].blurb	blurb	Speech therapists handle speech issues such as stuttering or lisps, as well as helping other kinds of problems with spoken and written language such as dyslexia, dyspraxia, and auditory processing disorder.	Ahli terapi pertuturan menangani isu pertuturan seperti gagap atau pelat, serta membantu masalah bahasa lisan dan bertulis seperti disleksia, dispraksia, dan gangguan pemprosesan auditori.	body	TRUE	unresolved	translated	206	188	0.91		FALSE	FALSE		FALSE	
index	services	3 · specialed	home.services.items[3].key	key	specialed	specialed	non-copy	FALSE	unresolved	identical	9	9	1.00		FALSE	FALSE		FALSE	
index	services	3 · specialed	home.services.items[3].title	title	Cognitive Therapy & Special Education	Terapi Kognitif & Pendidikan Khas	heading	TRUE	unresolved	translated	37	33	0.89	Special Education	FALSE	FALSE		FALSE	
index	services	3 · specialed	home.services.items[3].blurb	blurb	Cognitive therapy and special education delivered by our professionally licensed team as part of an integrated, multidisciplinary set up.	Terapi kognitif dan pendidikan khas yang disampaikan oleh pasukan kami yang berlesen profesional sebagai sebahagian daripada penyediaan pelbagai disiplin yang bersepadu.	body	TRUE	unresolved	translated	137	169	1.23	Special Education;Team	FALSE	FALSE		FALSE	
index	services	4 · eip	home.services.items[4].key	key	eip	eip	non-copy	FALSE	unresolved	identical	3	3	1.00		FALSE	FALSE		FALSE	
index	services	4 · eip	home.services.items[4].title	title	IEP & Early Intervention Program	IEP & Program Intervensi Awal	heading	TRUE	unresolved	translated	32	29	0.91	Early Intervention;Early Intervention Program	FALSE	FALSE		FALSE	
index	services	4 · eip	home.services.items[4].blurb	blurb	Therapy-based group program conducted daily by our certified Occupational Therapist, Speech Therapist/Clinical Linguist as well as our Special Education Teacher.	Program berkumpulan berasaskan terapi yang dijalankan setiap hari oleh Ahli Terapi Carakerja, Ahli Terapi Pertuturan/Pakar Linguistik Klinikal serta Guru Pendidikan Khas kami yang bertauliah.	body	TRUE	unresolved	translated	161	191	1.19	Special Education	FALSE	FALSE		FALSE	
index	services	5 · psych	home.services.items[5].key	key	psych	psych	non-copy	FALSE	unresolved	identical	5	5	1.00		FALSE	FALSE		FALSE	
index	services	5 · psych	home.services.items[5].title	title	Clinical Psychology	Psikologi Klinikal	heading	TRUE	unresolved	translated	19	18	0.95	Clinical Psychology	FALSE	FALSE		FALSE	
index	services	5 · psych	home.services.items[5].blurb	blurb	Clinical psychologists meet with clients to identify problems - emotional, mental, and behavioural - in their lives. Through observation, interviews, and tests, the psychologist will diagnose any existing or potential disorders.	Ahli psikologi klinikal bertemu klien untuk mengenal pasti masalah — emosi, mental, dan tingkah laku — dalam hidup mereka. Melalui pemerhatian, temu bual, dan ujian, ahli psikologi akan mendiagnosis sebarang gangguan sedia ada atau berpotensi.	body	TRUE	unresolved	translated	228	243	1.07		FALSE	FALSE		FALSE	
index	testimonial		home.testimonial.quote	quote	Yes. They are very helpful during and after sessions. therapists can further help to explain what can be done to assist the patient in meeting a specific target /milestone/goal for the next session. A checklist would be great to help parents to monitor the progress of the patient.	Ya. Mereka sangat membantu semasa dan selepas sesi. Ahli terapi boleh menerangkan lagi apa yang boleh dilakukan untuk membantu pesakit mencapai sasaran/pencapaian/matlamat tertentu untuk sesi berikutnya. Senarai semak akan sangat membantu ibu bapa untuk memantau perkembangan pesakit.	quote	TRUE	static	translated	281	284	1.01	Session;Parent;Parents	FALSE	FALSE		FALSE	
index	testimonial		home.testimonial.attribution	attribution	En S, Parent	En S, Parent	quote	TRUE	static	identical	12	12	1.00	Parent	FALSE	FALSE		FALSE	
index	whatWeDo		home.whatWeDo.heading	heading	What can we do for you?	Apa yang boleh kami bantu?	heading	TRUE	static	translated	23	26	1.13		FALSE	FALSE		FALSE	
index	whatWeDo		home.whatWeDo.intro	intro	Urbane Ethos provides early intervention for language and speech disorders, motor, cognitive and learning difficulties. Our support comes in three shapes:	Urbane Ethos menyediakan intervensi awal untuk gangguan bahasa dan pertuturan, serta kesukaran motor, kognitif dan pembelajaran. Sokongan kami hadir dalam tiga bentuk:	body	TRUE	static	translated	154	167	1.08	Early Intervention	FALSE	FALSE		FALSE	
index	whatWeDo		home.whatWeDo.points[0]	points	Individual one-to-one and group therapy sessions, with parent consultations alongside the therapists.	Sesi terapi individu satu-dengan-satu dan berkumpulan, bersama konsultasi ibu bapa berdampingan dengan ahli terapi.	list-item	TRUE	unresolved	translated	101	115	1.14	Session;Parent	FALSE	FALSE		FALSE	
index	whatWeDo		home.whatWeDo.points[1]	points	Parent and teacher training, seminars and workshops throughout the year.	Latihan ibu bapa dan guru, seminar serta bengkel sepanjang tahun.	list-item	TRUE	unresolved	translated	72	65	0.90	Parent	FALSE	FALSE		FALSE	
index	whatWeDo		home.whatWeDo.points[2]	points	Assessment and screening programs, in-clinic and at schools, by certified allied-health professionals.	Program penilaian dan saringan, di klinik dan di sekolah, oleh profesional kesihatan bersekutu yang bertauliah.	list-item	TRUE	unresolved	translated	102	111	1.09		FALSE	FALSE		FALSE	
index	whatWeDo		home.whatWeDo.body	body	Urbane Ethos Early Intervention Center provides early intervention for language and speech disorders, motor, cognitive and learning disabilities. We provide 1. Individualized one-to-one therapy sessions and group sessions along with parent consultations and discussions with therapists 2. Parent and Teacher Training, Seminars, and Workshops 3. Assessments and Screening programs in-clinic and to schools by trained and certified allied health professionals	Pusat Intervensi Awal Urbane Ethos menyediakan intervensi awal untuk gangguan bahasa dan pertuturan, ketidakupayaan motor, kognitif dan pembelajaran. Kami menyediakan 1. Sesi terapi satu-dengan-satu individu dan sesi berkumpulan bersama konsultasi ibu bapa serta perbincangan dengan ahli terapi 2. Latihan Ibu Bapa dan Guru, Seminar, dan Bengkel 3. Program penilaian dan saringan di klinik dan ke sekolah oleh profesional kesihatan bersekutu yang terlatih dan bertauliah	body	TRUE	unresolved	translated	457	470	1.03	Early Intervention;Urbane Ethos Early Intervention Center;Center;Session;Parent	FALSE	FALSE		FALSE	
index	staff		home.staff.eyebrow	eyebrow	The people	Orang di sebalik pusat	eyebrow	TRUE	static	translated	10	22	2.20		FALSE	FALSE		TRUE	assets/img/staff-pdf/dr-norizan-rajak.jpg
index	staff		home.staff.title	title	Meet the people who'll be there	Temui orang yang akan menemani anda	heading	TRUE	static	translated	31	35	1.13		FALSE	FALSE		TRUE	assets/img/staff-pdf/dr-norizan-rajak.jpg
index	staff		home.staff.intro	intro	A small team, on purpose. Your child works with the same familiar faces from the first screening onward.	Pasukan kecil, secara sengaja. Anak anda bekerja dengan wajah yang sama dan biasa dari saringan pertama lagi.	body	TRUE	static	translated	104	109	1.05	Team;Child	FALSE	FALSE		TRUE	assets/img/staff-pdf/dr-norizan-rajak.jpg
index	staff		home.staff.cta	cta	Meet everyone	Temui semua	cta	TRUE	static	translated	13	11	0.85		FALSE	FALSE		TRUE	assets/img/staff-pdf/dr-norizan-rajak.jpg
index	staff		home.staff.more	more	…and {count} more of us who'll say hello.	…dan {count} lagi daripada kami yang akan menyapa anda.	cta	TRUE	unresolved	translated	41	55	1.34		FALSE	FALSE		FALSE	
index	staffFeatured	0 · dr-norizan-rajak	home.staffFeatured[0].id	id	dr-norizan-rajak	dr-norizan-rajak	non-copy	FALSE	js	identical	16	16	1.00		FALSE	FALSE		FALSE	
index	staffFeatured	0 · dr-norizan-rajak	home.staffFeatured[0].greeting	greeting	Hi, I'm Norizan	Hai, saya Norizan	microcopy	TRUE	js	translated	15	17	1.13		FALSE	FALSE		FALSE	
index	staffFeatured	0 · dr-norizan-rajak	home.staffFeatured[0].personalLine	personalLine	I sit with families through the hardest questions first.	Saya menemani keluarga menghadapi soalan yang paling sukar terlebih dahulu.	microcopy	TRUE	js	translated	56	75	1.34	Families	FALSE	FALSE		FALSE	
index	staffFeatured	1 · ms-robin-koh-hui-xuan	home.staffFeatured[1].id	id	ms-robin-koh-hui-xuan	ms-robin-koh-hui-xuan	non-copy	FALSE	js	identical	21	21	1.00		FALSE	FALSE		FALSE	
index	staffFeatured	1 · ms-robin-koh-hui-xuan	home.staffFeatured[1].greeting	greeting	Hi, I'm Robin	Hai, saya Robin	microcopy	TRUE	js	translated	13	15	1.15		FALSE	FALSE		FALSE	
index	staffFeatured	1 · ms-robin-koh-hui-xuan	home.staffFeatured[1].personalLine	personalLine	I help people give a voice to their struggles, and build a life that feels like their own.	Saya membantu setiap orang memberi suara kepada kesukaran yang mereka hadapi, dan membina kehidupan yang benar-benar milik mereka sendiri.	microcopy	TRUE	js	translated	90	138	1.53		FALSE	FALSE		FALSE	
index	staffFeatured	2 · mrs-norizzati-afiqah	home.staffFeatured[2].id	id	mrs-norizzati-afiqah	mrs-norizzati-afiqah	non-copy	FALSE	js	identical	20	20	1.00		FALSE	FALSE		FALSE	
index	staffFeatured	2 · mrs-norizzati-afiqah	home.staffFeatured[2].greeting	greeting	Hi, I'm Norizzati	Hai, saya Norizzati	microcopy	TRUE	js	translated	17	19	1.12		FALSE	FALSE		FALSE	
index	staffFeatured	2 · mrs-norizzati-afiqah	home.staffFeatured[2].personalLine	personalLine	Play is how I find out what a child is ready to learn next.	Bermain ialah cara saya mengetahui apa yang anak sudah bersedia untuk pelajari seterusnya.	microcopy	TRUE	js	translated	59	90	1.53	Child	FALSE	FALSE		FALSE	
index	events		home.events.eyebrow	eyebrow	Events	Acara	eyebrow	TRUE	static	translated	6	5	0.83		FALSE	FALSE		FALSE	
index	events		home.events.heading	heading	Small workshops, quiet meetups	Bengkel kecil, perjumpaan yang tenang	heading	TRUE	static	translated	30	37	1.23		FALSE	FALSE		FALSE	
index	events		home.events.blurb	blurb	⟪PLACEHOLDER⟫ Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.	⟪PLACEHOLDER⟫ Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.	body	TRUE	static	identical	137	137	1.00		FALSE	TRUE		FALSE	
index	events		home.events.cta	cta	Get in touch	Hubungi kami	cta	TRUE	static	translated	12	12	1.00	Get in touch	FALSE	FALSE		FALSE	
index	recommendedRail		home.recommendedRail.heading	heading	Recommended for you	Disyorkan untuk anda	heading	TRUE	static	translated	19	20	1.05		FALSE	FALSE		FALSE	
index	recommendedRail		home.recommendedRail.subheading	subheading	Based on what you shared earlier	Berdasarkan apa yang anda kongsi sebelum ini	body	TRUE	static	translated	32	44	1.38		FALSE	FALSE		FALSE	
index	recommendedRail		home.recommendedRail.resetLabel	resetLabel	Reset preferences	Set semula pilihan	microcopy	TRUE	static	translated	17	18	1.06		FALSE	FALSE		FALSE	
index	blog		home.blog.heading	heading	BLOG	BLOG	heading	TRUE	static	identical	4	4	1.00		FALSE	FALSE		TRUE	assets/img/blog/year-end-promo/hero.webp
index	blog		home.blog.viewAll	viewAll	View all articles	Lihat semua artikel	cta	TRUE	static	translated	17	19	1.12		FALSE	FALSE		TRUE	assets/img/blog/year-end-promo/hero.webp
about	hero		about.hero.title	title	ABOUT US	TENTANG KAMI	heading	TRUE	static	translated	8	12	1.50		FALSE	FALSE		TRUE	assets/img/anchors/about-hero.jpg
about	hero		about.hero.subtitle	subtitle	A therapy centre for neurodivergent individuals — we cater between 0–20 years old and expanding to older and elderly patients.	Sebuah pusat terapi untuk individu neurodivergen — kami memberi khidmat kepada mereka yang berumur 0–20 tahun dan sedang berkembang kepada pesakit yang lebih dewasa dan warga emas.	body	TRUE	static	translated	126	180	1.43	Centre	FALSE	FALSE		TRUE	assets/img/anchors/about-hero.jpg
about	mission		about.mission.heading	heading	About us	Tentang kami	heading	TRUE	static	translated	8	12	1.50		FALSE	FALSE		TRUE	assets/img/anchors/about-team.jpg
about	mission		about.mission.body	body	At Urbane Ethos Early Intervention Center, we believe that a holistic approach to therapy, driven by transdisciplinary collaboration, is the key to unlocking each client's full potential. Our team, comprised of Clinical Linguists, Speech-Language Therapists, Occupational Therapist, Clinical Psychologist and Special Education Teacher, work seamlessly together to provide comprehensive, evidence-based care tailored to individual needs.	Di Pusat Intervensi Awal Urbane Ethos, kami percaya bahawa pendekatan terapi yang holistik, digerakkan oleh kerjasama transdisiplinari, adalah kunci untuk merungkai potensi penuh setiap klien. Pasukan kami, yang terdiri daripada Ahli Linguistik Klinikal, Ahli Terapi Bahasa-Pertuturan, Ahli Terapi Carakerja, Ahli Psikologi Klinikal dan Guru Pendidikan Khas, bekerjasama dengan lancar untuk menyediakan penjagaan menyeluruh dan berasaskan bukti yang disesuaikan dengan keperluan individu.	body	TRUE	static	translated	436	488	1.12	Early Intervention;Special Education;Urbane Ethos Early Intervention Center;Center;Team	FALSE	FALSE		TRUE	assets/img/anchors/about-team.jpg
about	story		about.story.heading	heading	Our story	Kisah kami	heading	TRUE	static	translated	9	10	1.11		FALSE	FALSE		TRUE	assets/img/anchors/about-team.jpg
